Strategy,Year,CapitalCost
BAU,,
BAU,2015,2238
BAU,2016,2238
BAU,2017,2238
BAU,2018,2238
BAU,2019,2238
BAU,2020,2238
BAU,2021,2238
BAU,2022,2248
BAU,2023,2258.1
BAU,2024,2268.1
BAU,2025,2278.1
BAU,2026,2288.2
BAU,2027,2298.2
BAU,2028,2308.2
BAU,2029,2318.3
BAU,2030,2328.3
BAU,2031,2338.3
BAU,2032,2348.4
BAU,2033,2358.4
BAU,2034,2368.4
BAU,2035,2378.5
BAU,2036,2388.5
BAU,2037,2398.5
BAU,2038,2408.6
BAU,2039,2418.6
BAU,2040,2428.6
BAU,2041,2438.7
BAU,2042,2448.7
BAU,2043,2458.7
BAU,2044,2468.8
BAU,2045,2478.8
BAU,2046,2488.8
BAU,2047,2498.9
BAU,2048,2508.9
BAU,2049,2518.9
BAU,2050,2529
NDP,,
NDP,2015,2238
NDP,2016,2238
NDP,2017,2238
NDP,2018,2238
NDP,2019,2238
NDP,2020,2238
NDP,2021,2238
NDP,2022,2265
NDP,2023,2292
NDP,2024,2319
NDP,2025,2346.1
NDP,2026,2373.1
NDP,2027,2400.1
NDP,2028,2427.1
NDP,2029,2454.1
NDP,2030,2481.1
NDP,2031,2508.1
NDP,2032,2535.1
NDP,2033,2562.1
NDP,2034,2589.1
NDP,2035,2616.2
NDP,2036,2643.2
NDP,2037,2670.2
NDP,2038,2697.2
NDP,2039,2724.2
NDP,2040,2751.2
NDP,2041,2778.2
NDP,2042,2805.2
NDP,2043,2832.2
NDP,2044,2859.3
NDP,2045,2886.3
NDP,2046,2913.3
NDP,2047,2940.3
NDP,2048,2967.3
NDP,2049,2994.3
NDP,2050,3021.3
