Strategy,Year,CapitalCost
BAU,,
BAU,2015,8508.3
BAU,2016,8508.3
BAU,2017,8508.3
BAU,2018,8508.3
BAU,2019,8508.3
BAU,2020,8508.3
BAU,2021,8508.3
BAU,2022,8546.4
BAU,2023,8584.6
BAU,2024,8622.7
BAU,2025,8660.8
BAU,2026,8699
BAU,2027,8737.1
BAU,2028,8775.3
BAU,2029,8813.4
BAU,2030,8851.5
BAU,2031,8889.7
BAU,2032,8927.8
BAU,2033,8966
BAU,2034,9004.1
BAU,2035,9042.2
BAU,2036,9080.4
BAU,2037,9118.5
BAU,2038,9156.7
BAU,2039,9194.8
BAU,2040,9232.9
BAU,2041,9271.1
BAU,2042,9309.2
BAU,2043,9347.4
BAU,2044,9385.5
BAU,2045,9423.6
BAU,2046,9461.8
BAU,2047,9499.9
BAU,2048,9538.1
BAU,2049,9576.2
BAU,2050,9614.3
NDP,,
NDP,2015,8508.3
NDP,2016,8508.3
NDP,2017,8508.3
NDP,2018,8508.3
NDP,2019,8508.3
NDP,2020,8508.3
NDP,2021,8508.3
NDP,2022,8611
NDP,2023,8713.6
NDP,2024,8816.3
NDP,2025,8919
NDP,2026,9021.7
NDP,2027,9124.4
NDP,2028,9227.1
NDP,2029,9329.8
NDP,2030,9432.4
NDP,2031,9535.1
NDP,2032,9637.8
NDP,2033,9740.5
NDP,2034,9843.2
NDP,2035,9945.9
NDP,2036,10048.6
NDP,2037,10151.2
NDP,2038,10253.9
NDP,2039,10356.6
NDP,2040,10459.3
NDP,2041,10562
NDP,2042,10664.7
NDP,2043,10767.4
NDP,2044,10870
NDP,2045,10972.7
NDP,2046,11075.4
NDP,2047,11178.1
NDP,2048,11280.8
NDP,2049,11383.5
NDP,2050,11486.2
