PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2015,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2016,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2017,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2018,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2019,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2020,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2021,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2022,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2023,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2024,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2025,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2026,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2027,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2028,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2029,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2030,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2031,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2032,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2033,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2034,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2035,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2036,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2037,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2038,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2039,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2040,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2041,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2042,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2043,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2044,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2045,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2046,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2047,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2048,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2049,,,,,,9999999.0
CapitalCost,BAU,CostaRica,BACKSTOP,,,,2050,,,,,,9999999.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2015,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2016,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2017,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2018,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2019,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2020,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2021,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2022,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2023,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2024,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2025,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2026,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2027,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2028,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2029,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2030,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2031,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2032,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2033,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2034,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2035,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2036,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2037,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2038,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2039,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2040,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2041,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2042,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2043,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2044,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2045,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2046,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2047,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2048,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2049,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPLANTA_FORESTAL,,,,2050,,,,,,1100.0
CapitalCost,BAU,CostaRica,CRPRODARROZ,,,,2015,,,,,,2097.0
CapitalCost,BAU,CostaRica,CRPRODARROZ,,,,2016,,,,,,2097.0
CapitalCost,BAU,CostaRica,CRPRODARROZ,,,,2017,,,,,,2097.0
CapitalCost,BAU,CostaRica,CRPRODARROZ,,,,2018,,,,,,2097.0
